title,published_date,views,likes,days_since_upload,content_type
Don’t be the next victim! 😰,14-02-2026,93642,7924,0,Evergreen
Exposing Conspiracy theory! 😡,13-02-2026,324036,23527,0,Evergreen
Why Indian men are problematic?,13-02-2026,261516,11685,1,Opinion
Kanpur me Lamborghini? 😳,12-02-2026,1320733,63110,1,Trend
CM really posted that?😰,12-02-2026,457944,32398,1,Trend
Half reality of HDFC video 😱,11-02-2026,450356,20149,2,Evergreen
Women safety in India 🤡,11-02-2026,354822,27204,2,Evergreen
Viral for All The WRONG Reasons🤯| Midweek,11-02-2026,435225,26234,2,Trend
Democracy nahi Mobocracy?😡,10-02-2026,133588,9810,3,Opinion
"Tareeka galat, action sahi 💯",09-02-2026,607490,40862,4,Opinion
No shame at all! 😡,08-02-2026,442073,23347,6,Opinion
"Lies, Lies & EPSTEIN FILES! 😨 | SS",08-02-2026,792987,38287,6,Trend
Shaadi hai ya sponsorship? 😱,07-02-2026,847140,49088,6,Trend
Just Indian things! 🤣,06-02-2026,296242,14756,7,Opinion
Vande Bharat pe akraman?🤣,03-02-2026,498137,23021,10,Trend
Musalmanon ka vidhi vidhan?😭,28-01-2026,1001409,29235,17,Opinion
Ese karenge hum Olympics Host?🤡,16-01-2026,248450,14742,28,Trend
Kartik Aryan ne ye kya kia? 😱,14-01-2026,577296,23949,30,Trend
Ye ek janam ke hai? 😳,30-12-2025,850391,30949,46,Opinion
New force Revealed 🤣,07-12-2025,233331,5777,69,Trend
"INDIGO Down, PUTIN in Town🔥| Sunday Show",07-12-2025,870826,49476,69,Trend
Songs me bhi Patriarchy?😭,05-12-2025,392041,13659,71,Opinion
Healthy turning into diseased? 😰,23-11-2025,71175,2321,83,Evergreen
Best ‘Ezucation’ Available 👀,22-11-2025,263262,8644,83,Evergreen
How they Fooled. - EVERYONE!  |  Sunday Show,16-11-2025,924000,49604,90,Trend
Zinda Rehna Challenge Hai? 😨,13-11-2025,91615,3011,93,Opinion
Caste still decides votes in Bihar 😳,11-11-2025,61542,1965,94,Trend
From Beginners to Experts❤️,08-11-2025,104077,4450,97,Opinion
This should be a national issue😂,08-11-2025,273246,11539,97,Trend
India's Biggest (Fake) News!😳| Sunday Show,02-11-2025,1013399,62377,104,Evergreen
Kaha hai Casteism?🤔,01-11-2025,393759,15288,104,Trend
"Patakha, Pollution or POLITICS? 🧨  | Sunday Show",26-10-2025,822067,51506,111,Opinion
Aadhaar Card Scam?🤯,18-10-2025,472345,15837,119,Trend
"Agar Bihar nahi gaye, toh kahan gaye?",02-10-2025,458782,25632,135,Opinion
Sasural ka Netflix original moment! 🤐,20-09-2025,642660,21925,146,Trend
Nano Banana: Trend ya Trouble? 😱,17-09-2025,1670391,85832,149,Trend
Thar Roxx ya Shoxx?! 🤯,14-09-2025,459208,18107,153,Trend
Did they Cross a Line?😳| Sunday Show,31-08-2025,878501,70473,167,Opinion
Who let the Dogs out? 🐶| Sunday Show,17-08-2025,903865,44789,181,Trend
Coal fires d*stroying lives. 😢,14-08-2025,498557,24497,183,Trend
Nature’s warning from Amarnath! ⚠️,30-07-2025,985011,65809,199,Trend
WHY so much DRaMa? 🤷 | Sunday Show,27-07-2025,879113,57778,202,Trend
Craziest TV news moments! 🤯,24-07-2025,97628,2193,204,Opinion
Prisoner’s “Digital Dinner” Exposed in Jail 🍽️,23-07-2025,406743,18528,205,Trend
Why foreigners hate ISCKON! 🤔,22-07-2025,1546098,58421,206,Opinion
Who Got 'Cold-Played'? 🫤 | Sunday Show,20-07-2025,926998,42643,209,Trend
"Meme banao, democracy bachao!",19-07-2025,63543,1879,210,Opinion
Samay Raina❌ Savage Raina✅,17-07-2025,452554,17999,211,Trend
"If it ain’t broke, invade it!",10-07-2025,516667,33412,218,Trend
Bihar’s Highway = GTA Bihar Edition!,08-07-2025,430061,24455,220,Trend
Rinku Singh controversy,06-07-2025,264283,12943,223,Trend
Petrol pump met Gangs of Wasseypur! 😱,26-06-2025,4476433,160371,232,Trend
Khao maa kasam! 🗣️ || #shorts #youtubeshorts,16-06-2025,373756,20472,242,Evergreen
"Training to become top-notch ""CHOR""",13-06-2025,197167,10431,246,Trend
How TV is changing villages || #shorts #youtubeshorts,29-05-2025,150236,8280,260,Opinion
How pak won this w@r! 🫣 || #shorts #youtubeshorts,28-05-2025,109212,4899,261,Evergreen
"Calling ""Motu"" was his biggest mistake! 😱",21-05-2025,494118,25949,269,Trend
Who is the legal heir? 🤔 || #shorts #youtubeshorts,19-05-2025,358309,15058,270,Trend
No fibre = No peace 🥲💩 || #shorts #yotubeshorts,15-05-2025,233093,12248,274,Trend
Pakistan launching MISSILE to India! 😱,08-05-2025,612678,36179,282,Opinion
The reality of caste census! || #shorts #youtubeshorts,06-05-2025,504229,33005,283,Evergreen
Most bizarre medication ever! 🤢 || #shorts #youtubeshorts,06-05-2025,148441,7325,284,Evergreen
What's your favourite samosa combo? || #shorts #youtubeshorts,05-05-2025,225810,12732,284,Opinion
How communal angle is used in any ri*t || #shorts #youtubeshorts,23-04-2025,199795,13379,296,Trend
Bachha kiska hai conspiracy?! 🫣 || #shorts #youtubeshorts,15-04-2025,2570798,77596,304,Trend
The harsh reality of fame! 🤐 || #shorts #youtubeshorts,15-04-2025,310659,19007,305,Opinion
DU college mai hui basad! 😰 || #shorts #youtubeshorts,09-04-2025,872499,38744,311,Opinion
"Share this with your ""Momospaglu"" friend! 🥟 || #shorts",28-03-2025,167267,11398,322,Opinion
Are you sleeping well? 😴😪 || #shorts #youtubeshorts,21-03-2025,101185,8621,330,Opinion
Is it right or wrong? 🤔 || #shorts #youtubeshorts,18-03-2025,206198,18436,333,Evergreen
Power ke liye kya kya karna padta hai! || #shorts #youtubeshorts,13-03-2025,310080,24075,338,Opinion
Mohd. Shami ne yeh kya kar diya! 😱  || #shorts #youtubeshorts,11-03-2025,186759,20786,339,Opinion
Get paid to be drunk! || #shorts #youtubeshorts,10-03-2025,141448,10388,341,Opinion
National TV turned into Latent show! 🤯🫣 || #shorts #youtubeshorts,06-03-2025,263630,24674,345,Opinion
High protein ice-cream in the market! 😱 || #shorts #youtubeshorts,03-03-2025,360002,24579,347,Trend
Jab loan recovery bani love story! 🤯 || #shorts #youtubeshorts,28-02-2025,130525,11747,350,Trend
Are you a fan of Veer Pahariya? 👀 || #shorts #youtubeshorts,12-02-2025,1646895,91993,366,Opinion
Brad Pitt ne kiya dating scam! 🫣🤯 || #shorts #youtubeshorts,22-01-2025,218440,19323,387,Trend
1 Million rupees or 1 Crore rupees!💵 || #shorts #youtubeshorts,20-01-2025,269923,19102,389,Evergreen
There is no non-offensive joke! || #shorts #youtubeshorts,17-01-2025,166975,12008,392,Evergreen
India being vishwaguru is a scam? 🤔 || #india #students,17-01-2025,1479183,125283,392,Opinion
Dulhan ❌ Dakait ✅ || #shorts #youtubeshorts,15-01-2025,214843,17084,394,Opinion
90 hours work a week! 😱🕛 || #shorts #youtubeshorts,14-01-2025,122126,13462,395,Trend
Is air purifier of no use!? 🤔 || #shorts #youtubeshorts,17-12-2024,260237,19288,424,Opinion
Bro didn't say no to the homies❤️ || #shorts #youtubeshorts,12-12-2024,212014,13986,428,Trend
What did the COP say? 😳 || #shorts #youtubeshorts,06-12-2024,99884,6056,434,Opinion
Sambhal Ka Kalesh & WHAT ABOUT Bangladesh? | Sunday Show,01-12-2024,737044,62433,440,Trend
"₹12,000 crore ka Gutkha! 😱💸 || #shorts #youtubeshorts",29-11-2024,148324,11012,441,Opinion
What Every Indian Should Know About American Elections,25-10-2024,631573,23760,476,Opinion
What are your views? 🤔 || #shorts #youtubeshorts,05-09-2024,73268,4166,526,Opinion
Telegram connection of India's Biggest Sex Scandal | Sarthak Goswami,30-08-2024,794352,27274,532,Opinion
My 'un'biased Opinion After Travelling 24 States of India..!,31-05-2024,819059,41677,623,Opinion
How I manages business WHILE TRAVELLING!,17-04-2024,51597,3346,667,Opinion
Can K.AnnaMalai Win South India for BJP?,28-03-2024,633416,17738,687,Opinion
"Ladakh Protest, Kejriwal Arrest & Badaun Case | Sunday Show",24-03-2024,534254,33215,692,Opinion
"Kerala, Coffee & Climate Change |",20-03-2024,191538,7540,695,Opinion
Reality of Life In A Remote Village |,03-03-2024,106703,6168,713,Opinion
Road To Heaven in Gujarat!! #SundayBharat,19-01-2024,68337,4533,757,Opinion
